SubjectID	sections
1580217244	Programme Sciences humaines et sociales
128851781	Physique - master|Ingénierie physique
1769419681	Architecture|Echange AR
230597543	Mathématiques
1908425640	Programme Sciences humaines et sociales
128314283	Systèmes de communication
47977389	Mathématiques
1774512	Mathématiques
235424693	Programme Sciences humaines et sociales
231672762	Gestion de l'énergie et construction durable|Sciences et ingénierie de l'environnement
900058271	Programme Sciences humaines et sociales
1581734848	Programme Sciences humaines et sociales
71898059	Bioingénierie|Génie chimique et biotechnologie|Mineur en Biotechnologie|Sciences et technologies du vivant - master|Science et ingénierie computationnelles|Mineur en Systems Engineering
1772492	Chimie moléculaire et biologique|Génie chimique et biotechnologie|Mineur en Biotechnologie|UNIL - Sciences forensiques
1769339854	Chimie moléculaire et biologique
230003664	Ingénierie financière
1772497	Chimie et génie chimique
1774547	Génie civil
1771072469	Bioingénierie
354984919	Science et ingénierie computationnelles
241135439	Mineur en Technologies spatiales
652078044	Microtechnique
1888402399	Architecture
71855072	Chimie et génie chimique
47572475	Gestion de l'énergie et construction durable|Mineur en Énergie|Sciences et ingénierie de l'environnement
1774567	Génie civil|Passerelle HES - GC
47244272	Mineur en Technologies spatiales|Mineur en Systems Engineering
85594280	CMS
1578290162	Science et ingénierie computationnelles
1776627	Microtechnique
1772030	Sciences et technologies du vivant
1898563769	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement
352254973	Bioingénierie|Sciences et technologies du vivant - master
1887888382	Gestion de l'énergie et construction durable|Génie mécanique|Science et ingénierie computationnelles
129833984	Chimie moléculaire et biologique
1494718976	Architecture|Echange AR
1580217350	Programme Sciences humaines et sociales
47994028	Bioingénierie|Microtechnique|Mineur en Biocomputing|Mineur en Neuroprosthétiques|Mineur en Neurosciences computationnelles|Sciences et technologies du vivant - master|Science et ingénierie computationnelles|Systèmes de communication - master|Informatique
250991626	Chimie moléculaire et biologique|Science et ingénierie computationnelles
132449292	Ingénierie financière
838976529	Génie mécanique|Science et génie des matériaux
47987731	Chimie et génie chimique
228377622	Gestion de l'énergie et construction durable|Génie mécanique|Mineur en Énergie
71470103	Architecture
1680262168	Architecture
128852199	Génie nucléaire|Physique - master|Ingénierie physique
1581730851	Programme Sciences humaines et sociales
231957545	Informatique
355591210	Bioingénierie|Sciences et technologies du vivant - master
1772587	Chimie et génie chimique
1776687	Génie électrique et électronique
1774642	Architecture|Passerelle HES - AR
1771072563	Bioingénierie
228383796	Gestion de l'énergie et construction durable|Génie mécanique
80958519	Programme Sciences humaines et sociales
128851000	Génie nucléaire|Physique - master|Ingénierie physique
839100255	Bioingénierie
1771072572	Sciences et technologies du vivant - master
1776702	Microtechnique|Mineur en Technologies biomédicales
1769706560	Architecture|Echange AR
126727237	Architecture
1771017288	Mathématiques - master|Ingénierie mathématique|Mathématiques pour l'enseignement|Ingénierie financière|Science et ingénierie computationnelles
29870604	CMS
71556171	Sciences et ingénierie de l'environnement
230678232	Physique - master|Ingénierie physique
652076110	Systèmes de communication - master
1771072592	Sciences et technologies du vivant - master
842513489	Ingénierie financière
1774677	Génie mécanique
1685212246	Mathématiques - master|Ingénierie mathématique|Ingénierie financière
71877719	Chimie moléculaire et biologique
129776728	Chimie moléculaire et biologique
23815258	Architecture|Echange AR
132425231	Systèmes de communication - master
